"max_ages_tree_branch_rates" "min_ages_tree_branch_rates"
"1" 0.000200063421430205 0.000620340621087017
"2" 0.00568785558008386 0.00568785558008386
"3" 0.000576466912786029 0.00180868762427307
"4" 0.000174023325619408 0.00568785558008386
"5" 0.000145333253683926 0.000366862082235781
"6" 0.00568785558008386 0.00568785558008386
"7" 0.00019963979333082 0.000512018393543288
"8" Inf 0.00568785558008386
"9" 0.00568785558008386 0.00274347196283085
"10" Inf 0.00568785558008386
"11" 0.000184485984813301 0.000482856
"12" 0.000201171853744756 0.000526528
"13" Inf 0.000335780975077926
"14" 0.000204084774259809 0.00059087610619469
"15" 0.000169701308495029 0.000491327433628319
"16" Inf 0.00568785558008386
"17" 0.00568785558008386 0.0017892983139187
"18" 0.000308381009199013 0.00086208844350591
"19" 0.00568785558008386 0.00568785558008386
"20" 0.000262961617518166 0.000748203539823009
"21" 0.00568785558008386 0.000795682376754385
"22" Inf 4.40421309630191e-05
"23" 0.000285441939844934 0.00568785558008386
"24" 0.000258534418136539 0.00515168315364062
"25" Inf 0.00568785558008386
"26" 0.000232124193004343 0.000862775217101903
"27" Inf 0.00568785558008386
"28" 3.81935150944033e-05 9.68106468800541e-05
"29" 0.000498064283255136 0.00249883495145631
"30" 0.000145333253683926 0.000729150485436893
"31" 0.00568785558008386 0.00568785558008386
"32" 0.0001791629297044 0.000677906698564593
"33" Inf 0.000216740581475393
"34" 0.000230367241676983 0.000978039684039886
"35" 0.00568785558008386 0.00568785558008386
"36" 0.000202873494621034 0.000883287101248266
"37" 0.000145998196309596 0.000635658807212205
"38" Inf 0.00568785558008386
"39" 0.000363097463126658 0.000937177672955975
"40" 0.00568785558008385 0.00195856597329113
"41" 0.000208906956316497 0.000598635451054325
"42" Inf 0.00568785558008386
"43" 0.000194558016545224 0.000560991914681914
"44" 0.00568785558008386 0.00568785558008386
"45" 0.000109832459594879 0.000318803204304344
"46" Inf 0.00568785558008386
"47" 0.000163578740328483 0.000475731046931408
"48" 0.00568785558008386 0.00202744417544715
"49" 0.000209322512257681 0.000686249727193257
"50" Inf 0.00568785558008386
"51" Inf 0.00568785558008386
"52" 0.000315840448100391 0.00104546265566784
"53" Inf 0.00568785558008386
"54" 0.000366292330647891 0.00122002365083949
"55" Inf 0.00568785558008386
"56" 0.000194254721031374 0.000647666667399882
"57" 0.00568785558008381 0.00568785558008386
"58" Inf 0.00568785558008386
"59" Inf 0.000287858937709597
"60" 0.000552822944070573 0.00201599073001159
"61" 0.00037465368254669 0.00136625724217845
"62" Inf 0.00568785558008386
"63" 0.000148631141693558 0.000510923856101026
"64" Inf 0.00568785558008386
"65" 0.000337950280851328 0.00116790628152964
"66" 0.00568785558008385 0.00568785558008386
"67" 0.000275894771878334 0.000963006681514477
"68" 0.000339929112724574 0.00174759110724546
"69" 0.000145333253683926 0.000499970163875419
"70" 0.0056878555800838 0.00568785558008386
"71" 0.00021322412282356 0.000738609501738123
"72" 0.000400349682591844 0.0013868134414832
"73" Inf 0.00115392280371882
"74" 0.00042706033168197 0.00150680829634363
"75" Inf 0.00568785558008386
"76" 0.00568785558008386 0.00416680418622966
"77" 0.000250312233730269 0.000905176771918763
"78" Inf 0.00568785558008386
"79" 0.000241255607996895 0.00087539976825029
"80" 0.000506267294565923 0.00183699884125145
"81" 0.00568785558008378 0.00568785558008386
"82" 0.000272643928611614 0.000980159200745017
"83" Inf 0.00568785558008386
"84" 0.000251062918422046 0.000905632321346093
"85" Inf 0.00568785558008386
"86" 0.000245626139360079 0.000891008111239861
"87" 0.000258796433174702 0.000938783314020858
"88" Inf 0.000439276403925928
"89" 0.000199213222202709 0.00069897746745672
"90" Inf 0.00568785558008386
"91" 9.74646520766105e-05 0.000343573348538833
"92" Inf 0.00568785558008386
"93" 0.000323497281759115 0.00114429268356584
"94" 0.00568785558008382 0.00568785558008386
"95" 0.000138668325744205 0.000504298957126304
"96" Inf 0.0011037037037037
"97" 0.000257973874540556 0.000968480861244019
"98" 0.00568785558008386 0.000971347019498802
"99" Inf 0.00568785558008386
"100" 0.000256716767331311 0.00108848562367282
"101" 0.00568785558008385 0.00568785558008386
"102" Inf 0.00568785558008386
"103" 0.00015941980000402 0.000687337031900139
"104" 0.00019846972135214 0.000855700416088766
"105" Inf 6.11006453907984e-05
"106" 0.0001633476321126 0.000766364716910706
"107" 1.3748936529533e-05 0.00568785558008386
"108" 0.000145333253683926 0.000449242424242424
"109" 4.86485376329621e-05 2.34048282809786e-05
"110" 0.000145333253683926 0.00517760317484014
"111" 0.000159655834953667 0.00568785558008386
"112" 0.00568785558008384 0.000276612171739933
"113" 0.000348069378742182 0.00195405906647439
"114" Inf 0.00568785558008386
"115" 0.000163464259673759 0.000919871437806495
"116" Inf 0.00568785558008386
"117" 0.000360364609638988 0.00203364472636193
"118" 0.00568785558008386 0.00568785558008386
"119" Inf 0.000274857899186786
"120" 0.000553692950125014 0.00352183505154639
"121" 0.000284699229728115 0.00181086597938144
"122" Inf 0.00568785558008386
"123" 0.000148043469794972 0.000875616640867645
"124" 2.67283708205913e-05 0.00568785558008386
"125" 0.000395351400698811 0.00209055769230769
"126" 0.000145333253683926 0.0007685
